"","Kingdom","Phylum","Class","Order","Family","Genus","Specie","C01","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C02","C020","C03","C04","C05","C06","C07","C08","C09","C11","C110","C111","C112","C113","C114","C115","C116","C117","C118","C119","C12","C120","C13","C14","C15","C16","C17","C18","C19","C41","C410","C411","C412","C413","C414","C415","C416","C417","C418","C419","C42","C420","C43","C44","C45","C46","C47","C48","C49","C61","C610","C611","C612","C613","C614","C615","C616","C617","C618","C619","C62","C620","C63","C64","C65","C66","C67","C68","C69","C71","C710","C711","C712","C713","C714","C715","C716","C717","C718","C719","C72","C720","C73","C74","C75","C76","C77","C78","C79"
"OTU_13_f_Comamonadaceae","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae","bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103057368601855,0,0,0,0,0.00103057368601855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103057368601855,0,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020611473720371,0,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_14_Vogesella","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella","beta proteobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240467193404328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_15_Sphingomonas","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_16_Acidovorax","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax delafieldii 2AN",0.00103057368601855,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0.000687049124012367,0,0,0,0,0,0.00103057368601855,0,0,0,0,0,0.00309172105805565,0,0,0,0,0,0,0,0,0,0,0.000687049124012367,0,0,0.000687049124012367,0,0,0,0,0.000343524562006183,0.00687049124012367,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0.00343524562006183,0,0,0,0,0.000687049124012367,0.00583991755410512,0,0,0,0,0,0,0,0,0,0,0.00240467193404328,0,0,0,0,0.000343524562006183,0,0,0,0,0.000687049124012367,0.000343524562006183,0,0,0,0,0,0,0.000343524562006183,0,0.000687049124012367,0,0.000343524562006183
"OTU_17_Azonexus","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azonexus","Azonexus fungiphilus",0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_18_Acidovorax","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax konjaci",0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_19_Acidovorax","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax delafieldii",0,0.00103057368601855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103057368601855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00480934386808657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583991755410512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_20_Paucibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Paucibacter","beta proteobacterium A0618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00274819649604947,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0.000343524562006183,0,0.000343524562006183,0,0.000687049124012367,0.000343524562006183,0,0,0,0,0,0,0.000343524562006183,0,0
"OTU_21_Bosea","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","Bosea minatitlanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0.00171762281003092,0.000687049124012367,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0.00137409824802473,0.000343524562006183,0.00103057368601855,0.00171762281003092,0.000687049124012367,0.00171762281003092,0.000687049124012367,0,0.000343524562006183,0.000343524562006183,0.00103057368601855,0.000687049124012367,0.000343524562006183,0.00137409824802473,0.00103057368601855,0.000687049124012367,0.000343524562006183,0.000343524562006183,0.000687049124012367,0
"OTU_22_Cellvibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio","Cellvibrio mixtus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137409824802473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127104087942288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230161456544143,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0.000343524562006183,0,0.000343524562006183,0.000343524562006183,0.000343524562006183,0.00103057368601855,0.000343524562006183,0.00137409824802473,0.000687049124012367,0.000343524562006183,0.000343524562006183,0.00103057368601855,0.000343524562006183,0,0,0.000343524562006183,0,0.000343524562006183,0.00103057368601855
"OTU_23_Polaromonas","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","Comamonadaceae bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0.000687049124012367,0,0,0
"OTU_24_Aquabacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium","Drosophila biarmipes",0.00103057368601855,0.0364136035726554,0.00103057368601855,0,0,0.00103057368601855,0.0312607351425627,0.000343524562006183,0.0020611473720371,0,0,0.00755754036413604,0.000343524562006183,0,0.000343524562006183,0.00652696667811749,0,0.000687049124012367,0.00652696667811749,0.00240467193404328,0,0.0264513912744761,0,0,0,0.000343524562006183,0.0353830298866369,0.000343524562006183,0.000343524562006183,0,0.000687049124012367,0,0,0,0.00240467193404328,0.00171762281003092,0,0.000343524562006183,0.00343524562006183,0,0.000343524562006183,0,0,0,0,0,0.0133974579182412,0,0,0,0,0,0,0,0,0.000687049124012367,0.00137409824802473,0,0.000687049124012367,0,0,0,0,0,0,0,0.00343524562006183,0,0,0,0.000343524562006183,0,0,0,0,0.00446581930608038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_25_Pseudomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas syringae pv. actinidiae CFBP 7286",0,0,0,0,0.00171762281003092,0.00893163861216077,0,0.000343524562006183,0,0,0,0.0529027825489522,0,0,0,0,0,0,0,0,0,0,0,0,0.0195809000343525,0.0061834421161113,0,0,0,0,0,0.0875987633115768,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0.0776365510133975,0.00755754036413604,0,0,0,0,0,0.0848505668155273,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0.0518722088629337,0.00755754036413604,0,0,0,0,0,0.0855376159395397,0,0,0,0,0,0,0,0,0.0250772930264514,0.0199244245963586,0.00893163861216077,0.0192373754723463,0.029886636894538,0.0247337684644452,0.0384747509446925,0.0309172105805565,0.0340089316386122,0.0230161456544143,0.0195809000343525,0.0195809000343525,0.0226726210924081,0.0233596702164205,0.0219855719683957,0.0154586052902783,0.020611473720371,0.016832703538303,0.0164891789762968,0.0192373754723463
"OTU_26_Acidovorax","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. NO-1",0.000343524562006183,0.000343524562006183,0,0,0,0,0,0,0,0,0.0319477842665751,0,0,0.000687049124012367,0,0,0.0364136035726554,0,0,0,0.000343524562006183,0.0041222947440742,0,0,0,0,0,0,0,0,0.0343524562006183,0,0,0.00103057368601855,0,0,0.0443146684987977,0,0,0,0.00137409824802473,0.0154586052902783,0,0,0,0,0,0,0,0,0.0395053246307111,0,0,0,0,0,0.0319477842665751,0,0,0,0.000343524562006183,0.0106492614221917,0,0,0,0,0,0,0,0,0.0343524562006183,0,0,0.00171762281003092,0,0,0.0405358983167296,0,0,0,0.0151150807282721,0.0116798351082102,0.0202679491583648,0.013053933356235,0.0147715561662659,0.0140845070422535,0.00996221229817932,0.00583991755410512,0.00893163861216077,0.00893163861216077,0.0133974579182412,0.0133974579182412,0.0147715561662659,0.00996221229817932,0.00961868773617314,0.0178632772243215,0.0147715561662659,0.020611473720371,0.0154586052902783,0.0144280316042597
"OTU_27_Massilia","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia timonae CCUG 45783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0.00790106492614222,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0.00721401580212985,0,0,0.0020611473720371,0,0,0,0,0,0,0,0,0,0,0.00446581930608038,0,0,0,0.000343524562006183,0.00377877018206802,0,0,0.000343524562006183,0.000343524562006183,0,0.000343524562006183,0,0,0.000343524562006183,0,0,0,0,0.000343524562006183,0,0.000687049124012367,0
"OTU_28_Acidovorax","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","bacterium SJA-23",0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_29_Caulobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Caulobacter sp.",0,0,0,0,0,0,0,0,0.0436276193747853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436276193747853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539333562349708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_30_Cellvibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio","Cellvibrio mixtus",0,0,0,0,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240467193404328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016832703538303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230161456544143,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0.000687049124012367,0.000343524562006183,0,0.000343524562006183,0.000687049124012367,0.00171762281003092,0.000687049124012367,0.000343524562006183,0,0.00103057368601855,0.00103057368601855,0.000343524562006183,0,0,0,0.000343524562006183,0.00171762281003092,0,0.00137409824802473
"OTU_31_Cellvibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio","Cellvibrio gandavensis",0,0,0,0,0,0,0,0,0.00103057368601855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171762281003092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_32_Cellvibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio","Cellvibrio sp. R-4075",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_33_Simplicispira","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira","bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0
"OTU_35_Pseudomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas pseudoalcaligenes KF707 = NBRC 110670",0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0.00103057368601855,0.00549639299209894,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687049124012367,0.00240467193404328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00274819649604947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00515286843009275,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0
"OTU_36_Pseudomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. GM24",0,0,0,0,0,0.0752318790793542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735142562693233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058055650979045,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0.0425970456887667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109927859841979,0.0103057368601855,0.00274819649604947,0.0103057368601855,0.00583991755410512,0.00721401580212985,0.0161456544142906,0.00652696667811749,0.0082445894881484,0.00755754036413604,0.00480934386808657,0.0061834421161113,0.00687049124012367,0.00377877018206802,0.00515286843009275,0.00309172105805565,0.00480934386808657,0.0061834421161113,0.00755754036413604,0.00583991755410512
"OTU_37_Flavobacterium","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. CF136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_38_Alicycliphilus","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Alicycliphilus","Melaminivora alkalimesophila",0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103057368601855,0,0,0,0,0,0.0020611473720371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687049124012367,0,0,0,0,0,0.00171762281003092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103057368601855,0,0,0,0,0,0.00103057368601855,0,0,0,0.000343524562006183,0.000343524562006183,0.00137409824802473,0.000687049124012367,0.000343524562006183,0.000343524562006183,0.000343524562006183,0.00137409824802473,0,0,0.000687049124012367,0.000343524562006183,0.000687049124012367,0,0,0.000687049124012367,0.00103057368601855,0.000343524562006183,0.000343524562006183,0
"OTU_39_Flavobacterium","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium succinicans",0,0.0123668842322226,0,0,0,0,0.000343524562006183,0,0,0,0,0.00583991755410512,0,0,0,0,0,0,0,0,0,0.00240467193404328,0,0,0,0,0,0,0,0.00171762281003092,0,0,0,0,0,0,0,0,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0.00309172105805565,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_40_Flavobacterium","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium succinicans",0,0.00103057368601855,0,0,0,0.000687049124012367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
